"designRunId","analysisRunId","comboId","memberId","category","checkId","status","ratio","demand","capacity","unit","expression"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-axial","OK","0.005829997279334603","5","857.6333333333333","kN","max |N| / Pa"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-flexure-z","OK","0","0","88.18333333333334","kN.m","max |Mz| / Maz"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-flexure-y","OK","0","0","12.411666666666669","kN.m","max |My| / May"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-shear-y","OK","0","0","330.103223910664","kN","max |Vy| / Vay"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-shear-z","OK","0","0","330.103223910664","kN","max |Vz| / Vaz"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-interaction","OK","0.005829997279334603","0.005829997279334603","1","'-","N/Pa + Mz/Maz + My/May"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-ltb-mcr","OK","0","0","90.10983718996845","kN.m","C1*pi^2*E*Iz/(k*Lb)^2*sqrt((k/kw)^2*Cw/Iz+(k*Lb)^2*G*J/(pi^2*E*Iz))"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-slenderness","OK","0.45518664511358836","91.03732902271767","200","'-","max(KL/ry, KL/rz) / limit"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","steel","steel-deflection","OK","0.0013034546762739966","0.00001564145611528796","0.012","m","member deformation / (L / limit)"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","story-1","serviceability","story-drift","OK","0","0","0.005","'-","story drift / drift limit"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","C","connection","preliminary-force-screen","OK","0.02","5","250","kN","equivalent force / assumed nominal connection capacity"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","B","foundation","required-bearing-area","NOT_CHECKED","","0.03333333333333333","","m2","required area = vertical reaction / assumed allowable bearing; actual footing area not checked"
"design-1","P20-BROWSER-STATIC:2026-09-08T01:28:58.264Z:2","GRAV","B","foundation","slidingRatio","OK","0","","","'-","horizontal reaction / (vertical reaction × assumed friction); uplift retains NG"
